espatlla	hombro
rauxa	arrebato
ham	anzuelo
clatell	nuca
gendre	yerno
nora	nuera
tafaner	mirón
mitjons	calcetines
ase	asno
gripau	sapo
colom	paloma
sargantana	lagartija
xai	cordero
pitroig	pelirrojo
fardatxo	lagarto
pany	cerradura
desaiguador	desagüe
canonada	tubería
emboçar	embozar
façana	fachada
rebost	despensa
engrunsadora	columpio
engrunsar-se	columpiarse
fanal	farola
gual	vado
estany	estanque
vedell	cordero
arc de Sant Martí	arcoíris
xàfec	aguacero
rosada	rocío
agranar	barrer
granera	escoba
renyó	riñón
parpella	párpado
bigot	bigote
barruga	verruga
piga	lunar
trena	trenza
abella	abeja
abellot	zángano
àlber	álamo
alfàbega	albahaca
all	ajo
alzina	encina
ametler	almendro
amfibi	anfibio
ànec	pato
ase	asno
avet	abeto
banya	cuerno
anyell	cordero
bestiola	bicho
blat	trigo
borinot	abejorro
bou	toro
branca	rama
cadell	cachorro
cadernera	jilguero
caragol	caracol
cau	madriguera
ceba	cebolla
centpeus	ciempiés
cérvol	ciervo
cigne	cisne
cigonya	cigüeña
cloïssa	almeja
clòtxina	mejillón
colobra	culebra
colom	palomo
conill	conejo
cranc	cangrejo
cuc	gusano
dacsa	maíz
desmai	sauce
dofí	delfín
egua	yegua
eriçó	erizo
eruga	oruga
escarabat	escarabajo
escurçó	víbora
espígol	espliego
esquirol	ardilla
estruç	avestruz
faig	haya
falcó	halcón
fardatxo	lagarto
femella	hembra
fenoll	hinojo
figuera	higuera
formiga	hormiga
fusta	madera
gàbia	jaula
garrofer	algarrobo
gavina	gaviota
gessamí	jazminero
gos	perro
granota	rana
gripau	sapo
guatlla	codorniz
indiot	pavo
julivert	perejil
linx	lince
llebre	liebre
llop	lobo
llorer	laurel
lluç	merluza
lluerna	luciérnaga
magraner	granado
mascle	macho
mussol	mochuelo
niu	nido
ocell	ave
òliba	lechuza
olivera	olivo
ordi	cebada
orenga	orégano
oronella	golondrina
ós	oso
ovella	oveja
panereta	mariquita
panerola	cucaracha
paó	pavo real
papallona	mariposa
pardal	pájaro
perdiu	perdiz
pi	pino
planter	vivero
poll	piojo
pollastre	pollo
poltre	potro
pomera	manzano
porc	cerdo
porc senglar	jabalí
prunera	ciruelo
puça	pulga
rabosa	zorra
ramat	rebaño
rata penada	murciélago
ratolí	ratón
rèptil	reptil
rosegador	roedor
rosella	amapola
rossinyol	ruiseñor
roure	roble
ruc	burro
rusc	colmena
saltamartí	saltamontes
sargantana	lagartija
sègol	centeno
serp	serpiente
somera	burra
surera	alcornoque
talp	topo
taronger	naranjo
tauró	tiburón
teuladí	gorrión
timonet	tomillo
tonyina	atún
truita	trucha
truja	cerda
ullal	colmillo
urpa	garra
vespa	avispa
voltor	buitre
xiprer	ciprés
xitxarra	cigarra
